Text,Label
"Estou me sentindo muito bem hoje, produtivo e energizado!",True
"Excelente dia de trabalho, consegui finalizar todas as tarefas com sucesso.",True
"Me sinto satisfeito e motivado com o progresso do projeto.",True
"Ótimo ambiente de trabalho, me sinto confortável e feliz.",True
"Perfeito! Estou muito contente com os resultados alcançados.",True
"Dia maravilhoso, me sinto realizado e animado.",True
"Estou muito bem, energizado e pronto para novos desafios.",True
"Satisfação total com o trabalho realizado hoje.",True
"Me sinto ótimo, produtivo e com muita energia positiva.",True
"Excelente progresso, estou muito satisfeito e motivado.",True
"Estou muito cansado e sobrecarregado com muitas tarefas.",False
"Me sinto estressado e esgotado, não consigo descansar direito.",False
"Péssimo dia, muito frustrado e desanimado com o trabalho.",False
"Estou exausto, sobrecarregado e sem energia para continuar.",False
"Muito ansioso e preocupado com os prazos e responsabilidades.",False
"Me sinto deprimido e sem motivação para trabalhar.",False
"Burnout total, não aguento mais essa pressão constante.",False
"Estou esgotado, muito estressado e sem conseguir me concentrar.",False
"Dia terrível, me sinto mal e sem energia alguma.",False
"Muito difícil lidar com tanta sobrecarga e pressão.",False
"Dia normal de trabalho, sem grandes eventos.",False
"Rotineiro, consegui fazer algumas tarefas básicas.",False
"Sem grandes novidades, trabalho padrão do dia a dia.",False
